"bin","tree_in_bin","prop1"
"40-45%",15,0.40625
"50-55%",11,0.5
"90-95%",8,0.90625
"70-75%",7,0.71875
"70-75%",8,0.71875
"90-95%",9,0.9375
"55-60%",10,0.5625
"50-55%",12,0.53125
"65-70%",4,0.65625
"50-55%",13,0.5
"40-45%",16,0.40625
"65-70%",5,0.65625
"55-60%",11,0.59375
"70-75%",9,0.71875
"40-45%",17,0.40625
"40-45%",18,0.40625
"60-65%",2,0.625
"40-45%",19,0.40625
"45-50%",8,0.46875
"65-70%",6,0.6875
"50-55%",14,0.53125
"40-45%",20,0.4375
"90-95%",10,0.90625
"50-55%",15,0.5
"50-55%",16,0.53125
"90-95%",11,0.9375
"55-60%",12,0.59375
"45-50%",9,0.46875
"60-65%",3,0.625
"65-70%",7,0.6875
"75-80%",11,0.75
"65-70%",8,0.65625
"80-85%",7,0.8125
"55-60%",13,0.5625
"50-55%",17,0.53125
"85-90%",2,0.875
"50-55%",18,0.5
"55-60%",14,0.5625
"65-70%",9,0.65625
"55-60%",15,0.59375
"60-65%",4,0.625
"65-70%",10,0.6875
"95-100%",5,0.96875
"75-80%",12,0.78125
"75-80%",13,0.75
"65-70%",11,0.65625
"80-85%",8,0.8125
"85-90%",3,0.875
"55-60%",16,0.5625
"55-60%",17,0.5625
"90-95%",12,0.90625
"50-55%",19,0.53125
"50-55%",20,0.53125
"65-70%",12,0.6875
"80-85%",9,0.8125
"60-65%",5,0.625
"60-65%",6,0.625
"90-95%",13,0.90625
"90-95%",14,0.9375
"55-60%",18,0.5625
"55-60%",19,0.5625
"90-95%",15,0.90625
"75-80%",14,0.78125
"65-70%",13,0.65625
"45-50%",10,0.46875
"75-80%",15,0.78125
"80-85%",10,0.8125
"75-80%",16,0.78125
"75-80%",17,0.78125
"60-65%",7,0.625
"70-75%",10,0.71875
"75-80%",18,0.78125
"65-70%",14,0.6875
"60-65%",8,0.625
"90-95%",16,0.9375
"75-80%",19,0.78125
"45-50%",11,0.46875
"90-95%",17,0.9375
"80-85%",11,0.84375
"45-50%",12,0.46875
"90-95%",18,0.90625
"45-50%",13,0.46875
"75-80%",20,0.75
"90-95%",19,0.90625
"65-70%",15,0.65625
"55-60%",20,0.5625
"80-85%",12,0.8125
"45-50%",14,0.46875
"60-65%",9,0.625
"90-95%",20,0.9375
"45-50%",15,0.46875
"45-50%",16,0.46875
"70-75%",11,0.71875
