"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",6,2,0.0625,7,24.6,0.229691339271371,0.466666666666667
"05-10%",6,2,0.0625,8,23.7333333333333,0.151294294252939,0.533333333333333
"05-10%",6,2,0.0625,9,22.4666666666667,0.0801047042532422,0.333333333333333
"05-10%",6,2,0.0625,10,21.6,0.0675977950953222,0.333333333333333
"05-10%",6,2,0.0625,11,20.4666666666667,0.0553255226468071,0.0666666666666667
"05-10%",6,2,0.0625,12,19.7333333333333,0.0263712665549986,0.466666666666667
"05-10%",6,2,0.0625,13,19.4,0.0202325805930292,0.266666666666667
"05-10%",6,2,0.0625,14,18.1333333333333,0.00568004664687517,0.2
"05-10%",6,2,0.0625,15,17.4,-0.00353880612962614,0.133333333333333
"05-10%",6,2,0.0625,16,17.9333333333333,-0.0111592633339964,0.533333333333333
"05-10%",6,2,0.0625,17,17.8666666666667,-0.00353880612962614,0.333333333333333
"05-10%",6,2,0.0625,18,17.6666666666667,0.000714437339311615,0.133333333333333
"05-10%",6,2,0.0625,19,18.9333333333333,0.0251693924728195,0.333333333333333
"05-10%",6,2,0.0625,20,20,0.0363370200487855,0.6
"05-10%",6,2,0.0625,21,20.4666666666667,0.0553255226468071,0.466666666666667
"05-10%",6,2,0.0625,22,21.6,0.065675606708306,0.533333333333333
"05-10%",6,2,0.0625,23,22.6666666666667,0.0978048561174589,0.666666666666667
"05-10%",6,2,0.0625,24,23.8666666666667,0.151294294252939,0.8
"05-10%",6,2,0.0625,25,24.5333333333333,0.235909449203262,0.533333333333333
"05-10%",6,2,0.0625,26,25.6666666666667,0.223097295136717,0.933333333333333
"05-10%",6,2,0.0625,27,26.6,0.304707677036533,0.666666666666667
"05-10%",6,2,0.0625,28,27.6666666666667,0.398242591627841,1.2
"05-10%",6,2,0.0625,29,28.8,0.471242677485198,1
"05-10%",6,2,0.0625,30,29.8666666666667,0.615771023646241,1.33333333333333
"05-10%",6,2,0.0625,31,30.8666666666667,0.766158850398053,1.6
"05-10%",6,2,0.0625,32,32,1,2
"05-10%",7,3,0.0625,1,30.8666666666667,0.77293239650039,1.26666666666667
"05-10%",7,3,0.0625,2,29.9333333333333,0.590551264483786,1
"05-10%",7,3,0.0625,3,28.6666666666667,0.498702610581914,0.666666666666667
"05-10%",7,3,0.0625,4,27.8,0.39231966573349,0.8
"05-10%",7,3,0.0625,5,26.8666666666667,0.316851491712676,0.8
"05-10%",7,3,0.0625,6,25.6,0.238422861058787,0.533333333333333
"05-10%",7,3,0.0625,7,24.8666666666667,0.200190804473469,0.733333333333333
"05-10%",7,3,0.0625,8,23.6,0.180344806307532,0.533333333333333
"05-10%",7,3,0.0625,9,22.5333333333333,0.120032089093852,0.466666666666667
"05-10%",7,3,0.0625,10,21.8666666666667,0.119766732112499,0.733333333333333
"05-10%",7,3,0.0625,11,21.6,0.0329234593946395,0.466666666666667
"05-10%",7,3,0.0625,12,20.2,0.025186121829937,0.4
"05-10%",7,3,0.0625,13,18.7333333333333,0.0202113308737883,0.333333333333333
"05-10%",7,3,0.0625,14,18.8666666666667,0.00815948753712109,0.533333333333333
"05-10%",7,3,0.0625,15,18.1333333333333,0.00142321252105666,0.466666666666667
"05-10%",7,3,0.0625,16,17.7333333333333,-0.0111592633339964,0.266666666666667
"05-10%",7,3,0.0625,17,17.3333333333333,-0.00601981545496754,0.0666666666666667
"05-10%",7,3,0.0625,18,18,0.00072116486638332,0.133333333333333
"05-10%",7,3,0.0625,19,18.6,0.0152532692747571,0.2
"05-10%",7,3,0.0625,20,19.8666666666667,0.0376836966716118,0.2
"05-10%",7,3,0.0625,21,20.6666666666667,0.0454211033386509,0.466666666666667
"05-10%",7,3,0.0625,22,21.6,0.0710793222373705,0.533333333333333
"05-10%",7,3,0.0625,23,22.4666666666667,0.137732240958068,0.466666666666667
"05-10%",7,3,0.0625,24,23.6,0.185803382040608,0.533333333333333
"05-10%",7,3,0.0625,25,24.8,0.21002431607277,0.733333333333333
"05-10%",7,3,0.0625,26,25.6666666666667,0.264764538359118,0.6
"05-10%",7,3,0.0625,27,26.8,0.353282935741107,0.8
"05-10%",7,3,0.0625,28,27.8666666666667,0.379188185421494,0.866666666666667
"05-10%",7,3,0.0625,29,28.7333333333333,0.484972644033556,0.866666666666667
"05-10%",7,3,0.0625,30,29.8,0.629782000958715,1.06666666666667
"05-10%",7,3,0.0625,31,30.8,0.766158850398053,1.26666666666667
"05-10%",7,3,0.0625,32,32,1,2
"05-10%",9,4,0.09375,1,30.9333333333333,0.817299764263587,1
"05-10%",9,4,0.09375,2,29.9333333333333,0.671842096203144,0.933333333333333
"05-10%",9,4,0.09375,3,28.9333333333333,0.56623062797306,0.933333333333333
"05-10%",9,4,0.09375,4,28,0.449130702623867,0.866666666666667
"05-10%",9,4,0.09375,5,26.8,0.385522838446649,0.8
"05-10%",9,4,0.09375,6,25.8,0.294227540863429,0.6
"05-10%",9,4,0.09375,7,24.9333333333333,0.202728622176584,0.6
"05-10%",9,4,0.09375,8,23.8666666666667,0.17253683760743,0.466666666666667
"05-10%",9,4,0.09375,9,22.7333333333333,0.16225576530963,0.733333333333333
"05-10%",9,4,0.09375,10,21.7333333333333,0.109053318730881,0.333333333333333
"05-10%",9,4,0.09375,11,20.8666666666667,0.0832010401154116,0.4
"05-10%",9,4,0.09375,12,20.1333333333333,0.0467215182244157,0.333333333333333
"05-10%",9,4,0.09375,13,18.9333333333333,0.00636632558038274,0.333333333333333
"05-10%",9,4,0.09375,14,18.8666666666667,0.00454895655435417,0.266666666666667
"05-10%",9,4,0.09375,15,18.2,-0.00395524870208818,0.266666666666667
