"bin","k","cor_mast_cherries"
"30-35%",23,0.299202069790447
"30-35%",24,0.405287563473194
"30-35%",25,0.193964253954745
"30-35%",26,0.405414693481054
"30-35%",27,-0.0580692342473562
"30-35%",28,0.185128895603824
"30-35%",29,0.176707176281657
"30-35%",30,-0.239775526422657
"30-35%",31,0.194548110965301
"30-35%",32,NA
"35-40%",1,0.172310683379251
"35-40%",2,0.289480072514834
"35-40%",3,-0.0511257308390081
"35-40%",4,0.479800374197572
"35-40%",5,0.175363496805243
"35-40%",6,0.574917899530211
"35-40%",7,0.518834443531011
"35-40%",8,0.391495079167641
"35-40%",9,0.493418964499943
"35-40%",10,0.305781801276155
"35-40%",11,0.416661666436656
"35-40%",12,0.563674924542818
"35-40%",13,0.587564218476563
"35-40%",14,0.22260393218812
"35-40%",15,0.303102895606859
"35-40%",16,0.651863421003376
"35-40%",17,0.449352798401458
"35-40%",18,0.43356817353378
"35-40%",19,0.358143277219009
"35-40%",20,0.705584132315277
"35-40%",21,0.707874696044698
"35-40%",22,0.538409296395501
"35-40%",23,0.606783169009642
"35-40%",24,0.679508469402925
"35-40%",25,-0.187605949109099
"35-40%",26,0.435744128796584
"35-40%",27,0.263643368059917
"35-40%",28,0.328899798204672
"35-40%",29,0.0333150188842116
"35-40%",30,0.40487157233224
"35-40%",31,0.434725056339116
"35-40%",32,NA
"40-45%",1,0.258813055664879
"40-45%",2,0.346636652235972
"40-45%",3,0.227101592127288
"40-45%",4,0.278596486721905
"40-45%",5,0.415763232017085
"40-45%",6,0.147779788560068
"40-45%",7,0.554018554887468
"40-45%",8,0.553530692024794
"40-45%",9,0.629176895105734
"40-45%",10,0.290593285568538
"40-45%",11,0.583936420948305
"40-45%",12,0.365974033259444
"40-45%",13,0.0894704466880336
"40-45%",14,0.633058974985104
"40-45%",15,0.38690447439876
"40-45%",16,0.565165148557151
"40-45%",17,0.620216190954075
"40-45%",18,0.441735230154376
"40-45%",19,0.573440139965632
"40-45%",20,0.577901741891937
"40-45%",21,0.299912690143311
"40-45%",22,0.632915039268412
"40-45%",23,0.573512209736557
"40-45%",24,0.267388708505987
"40-45%",25,0.359938989547969
"40-45%",26,0.302391737163815
"40-45%",27,0.68612536138921
"40-45%",28,0.16636040740216
"40-45%",29,0.47932109478704
"40-45%",30,0.334723875905113
"40-45%",31,0.337093092374667
"40-45%",32,NA
"45-50%",1,0.922316221383513
"45-50%",2,0.061695936247908
"45-50%",3,0.825692865637962
"45-50%",4,0.508323673940706
"45-50%",5,0.869742053956937
"45-50%",6,0.755746482981385
"45-50%",7,0.94581813368682
"45-50%",8,0.446955696316197
"45-50%",9,0.693454014301363
"45-50%",10,0.693659017652736
"45-50%",11,0.773205618770126
"45-50%",12,0.786211467128519
"45-50%",13,0.83533292349358
"45-50%",14,0.700268594305006
"45-50%",15,0.64192934927436
"45-50%",16,0.72000989356124
"45-50%",17,0.860082302081733
"45-50%",18,0.745853487990265
"45-50%",19,0.717723665922302
"45-50%",20,0.677537389166745
"45-50%",21,0.806167554864981
"45-50%",22,0.795611135147392
"45-50%",23,0.714647530368714
"45-50%",24,0.61353196212863
"45-50%",25,0.724236228389615
"45-50%",26,0.554466921729562
"45-50%",27,0.928232106903479
"45-50%",28,0.60460385329622
"45-50%",29,0.877450711150141
"45-50%",30,0.30997163197306
"45-50%",31,0.963093417036303
"45-50%",32,NA
"50-55%",1,0.878300483499692
"50-55%",2,0.229958603932804
"50-55%",3,0.567717299358278
"50-55%",4,0.298581286166106
"50-55%",5,0.70195464843809
"50-55%",6,0.307401208060451
"50-55%",7,0.691708730242692
"50-55%",8,0.652725812479792
"50-55%",9,0.756422355012186
"50-55%",10,0.720287632381194
"50-55%",11,0.740563728265916
"50-55%",12,0.795262031736514
"50-55%",13,0.740719194615018
"50-55%",14,0.850102083234238
"50-55%",15,0.674780250210064
"50-55%",16,0.788625637740088
"50-55%",17,0.850427580220443
"50-55%",18,0.810496455019909
"50-55%",19,0.72693129253753
"50-55%",20,0.76824377394318
"50-55%",21,0.681858927824157
"50-55%",22,0.691955764941122
"50-55%",23,0.839925640995089
"50-55%",24,0.586194388250705
"50-55%",25,0.801006033580127
"50-55%",26,0.522817272812706
"50-55%",27,0.394535083860175
"50-55%",28,0.571420709800943
"50-55%",29,0.54825873888132
"50-55%",30,0.0684515153518837
"50-55%",31,0.877604413774679
"50-55%",32,NA
"55-60%",1,0.398333048432881
"55-60%",2,0.818313248902042
"55-60%",3,0.244393057399467
"55-60%",4,0.486379067114899
"55-60%",5,0.648544104909011
"55-60%",6,0.706628104333043
"55-60%",7,0.612285894147222
"55-60%",8,0.934938875565043
"55-60%",9,0.732411101719825
"55-60%",10,0.919025451907515
"55-60%",11,0.91398574401918
"55-60%",12,0.767858324450345
"55-60%",13,0.895477266495404
"55-60%",14,0.892505721269292
"55-60%",15,0.905218892411792
"55-60%",16,0.858088447549566
"55-60%",17,0.809893170536815
"55-60%",18,0.883600814303961
"55-60%",19,0.889562347096554
"55-60%",20,0.892005967094689
"55-60%",21,0.875214224348103
"55-60%",22,0.837056819165679
"55-60%",23,0.896807981923026
"55-60%",24,0.814196959151708
"55-60%",25,0.713360050358799
"55-60%",26,0.606779608340806
"55-60%",27,0.685450869999466
"55-60%",28,0.722628340306006
"55-60%",29,0.458296469766633
"55-60%",30,0.849393270825754
"55-60%",31,0.519629981642201
"55-60%",32,NA
"60-65%",1,0.134754470310679
"60-65%",2,0.317491059078785
"60-65%",3,-0.0841711065257996
"60-65%",4,0.78608099196401
"60-65%",5,0.328155878498654
"60-65%",6,0.792631074257909
"60-65%",7,0.374193683732576
"60-65%",8,0.664844021886946
"60-65%",9,0.370845820410134
"60-65%",10,0.773984895176395
"60-65%",11,0.843295505946949
"60-65%",12,0.738516557241863
"60-65%",13,0.772193463188952
"60-65%",14,0.876634408456092
"60-65%",15,0.955879817857428
"60-65%",16,0.859127638715169
"60-65%",17,0.893389959542566
"60-65%",18,0.851011724939614
"60-65%",19,0.846839685945799
"60-65%",20,0.813725285165427
"60-65%",21,0.838991799758351
"60-65%",22,0.692554034171462
"60-65%",23,0.572061560883438
"60-65%",24,0.81144633007384
"60-65%",25,0.188568708063967
"60-65%",26,0.660231101699708
"60-65%",27,-0.0810220420871039
"60-65%",28,0.803362244819718
"60-65%",29,-0.00670274737187678
"60-65%",30,0.311299730136696
"60-65%",31,0.104301618702176
"60-65%",32,NA
