"bin","tree_id","tree_in_bin","prop1","k","rep","mast","coph","preserved_cherries"
"20-25%",1,1,0.21875,6,15,26,0.381029478840382,1
"20-25%",1,1,0.21875,7,1,25,0.220794547480314,1
"20-25%",1,1,0.21875,7,2,25,0.258360828941476,1
"20-25%",1,1,0.21875,7,3,25,0.289514926004723,1
"20-25%",1,1,0.21875,7,4,25,0.31330852566113,1
"20-25%",1,1,0.21875,7,5,25,0.289514926004723,1
"20-25%",1,1,0.21875,7,6,24,0.31330852566113,0
"20-25%",1,1,0.21875,7,7,25,0.289514926004723,1
"20-25%",1,1,0.21875,7,8,25,0.328370882780884,1
"20-25%",1,1,0.21875,7,9,25,0.31330852566113,1
"20-25%",1,1,0.21875,7,10,25,0.31330852566113,1
"20-25%",1,1,0.21875,7,11,25,0.289514926004723,1
"20-25%",1,1,0.21875,7,12,25,0.31330852566113,1
"20-25%",1,1,0.21875,7,13,24,0.289514926004723,0
"20-25%",1,1,0.21875,7,14,25,0.31330852566113,1
"20-25%",1,1,0.21875,7,15,25,0.31330852566113,1
"20-25%",1,1,0.21875,8,1,23,0.232076449063374,0
"20-25%",1,1,0.21875,8,2,24,0.232076449063374,1
"20-25%",1,1,0.21875,8,3,23,0.262238771608176,0
"20-25%",1,1,0.21875,8,4,24,0.262238771608176,1
"20-25%",1,1,0.21875,8,5,23,0.232076449063374,0
"20-25%",1,1,0.21875,8,6,24,0.203459351876043,1
"20-25%",1,1,0.21875,8,7,23,0.203459351876043,0
"20-25%",1,1,0.21875,8,8,23,0.251969331396466,0
"20-25%",1,1,0.21875,8,9,24,0.203459351876043,1
"20-25%",1,1,0.21875,8,10,23,0.232076449063374,0
"20-25%",1,1,0.21875,8,11,23,0.232076449063374,0
"20-25%",1,1,0.21875,8,12,24,0.262238771608176,1
"20-25%",1,1,0.21875,8,13,23,0.251969331396466,0
"20-25%",1,1,0.21875,8,14,23,0.251969331396466,0
"20-25%",1,1,0.21875,8,15,23,0.251969331396466,0
"20-25%",1,1,0.21875,9,1,23,0.181280570814629,1
"20-25%",1,1,0.21875,9,2,22,0.15642254251254,0
"20-25%",1,1,0.21875,9,3,23,0.196584959219205,1
"20-25%",1,1,0.21875,9,4,23,0.122269528099876,1
"20-25%",1,1,0.21875,9,5,23,0.15642254251254,1
"20-25%",1,1,0.21875,9,6,22,0.196584959219205,0
"20-25%",1,1,0.21875,9,7,17,0.201772560503421,0
"20-25%",1,1,0.21875,9,8,22,0.181280570814629,0
"20-25%",1,1,0.21875,9,9,23,0.196584959219205,1
"20-25%",1,1,0.21875,9,10,23,0.122269528099876,1
"20-25%",1,1,0.21875,9,11,22,0.181280570814629,0
"20-25%",1,1,0.21875,9,12,23,0.15642254251254,1
"20-25%",1,1,0.21875,9,13,22,0.122269528099876,0
"20-25%",1,1,0.21875,9,14,23,0.15642254251254,1
"20-25%",1,1,0.21875,9,15,23,0.122269528099876,1
"20-25%",1,1,0.21875,10,1,21,0.136599406934641,0
"20-25%",1,1,0.21875,10,2,21,0.1469392859376,0
"20-25%",1,1,0.21875,10,3,22,0.1469392859376,1
"20-25%",1,1,0.21875,10,4,21,0.116224092570146,0
"20-25%",1,1,0.21875,10,5,22,0.136599406934641,1
"20-25%",1,1,0.21875,10,6,22,0.0859888215298912,1
"20-25%",1,1,0.21875,10,7,15,0.1469392859376,0
"20-25%",1,1,0.21875,10,8,21,0.116224092570146,0
"20-25%",1,1,0.21875,10,9,21,0.116224092570146,0
"20-25%",1,1,0.21875,10,10,22,0.136599406934641,1
"20-25%",1,1,0.21875,10,11,22,0.136599406934641,1
"20-25%",1,1,0.21875,10,12,21,0.116224092570146,0
"20-25%",1,1,0.21875,10,13,22,0.1469392859376,1
"20-25%",1,1,0.21875,10,14,21,0.116224092570146,0
"20-25%",1,1,0.21875,10,15,22,0.136599406934641,1
"20-25%",1,1,0.21875,11,1,16,0.102945183930317,0
"20-25%",1,1,0.21875,11,2,20,0.097745516547945,0
"20-25%",1,1,0.21875,11,3,21,0.0822596046797536,1
"20-25%",1,1,0.21875,11,4,20,0.097745516547945,0
"20-25%",1,1,0.21875,11,5,20,0.0822596046797536,0
"20-25%",1,1,0.21875,11,6,21,0.102945183930317,1
"20-25%",1,1,0.21875,11,7,21,0.0822596046797536,1
"20-25%",1,1,0.21875,11,8,20,0.0822596046797536,0
"20-25%",1,1,0.21875,11,9,21,0.0566032548934037,1
"20-25%",1,1,0.21875,11,10,21,0.097745516547945,1
"20-25%",1,1,0.21875,11,11,21,0.0566032548934037,1
"20-25%",1,1,0.21875,11,12,21,0.097745516547945,1
"20-25%",1,1,0.21875,11,13,20,0.102945183930317,0
"20-25%",1,1,0.21875,11,14,21,0.097745516547945,1
"20-25%",1,1,0.21875,11,15,20,0.0822596046797536,0
"20-25%",1,1,0.21875,12,1,21,-0.0417973717676982,1
"20-25%",1,1,0.21875,12,2,19,-0.0417973717676982,0
"20-25%",1,1,0.21875,12,3,20,0.033472409360697,1
"20-25%",1,1,0.21875,12,4,20,0.0645825104586165,1
"20-25%",1,1,0.21875,12,5,19,0.033472409360697,0
"20-25%",1,1,0.21875,12,6,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,7,20,0.033472409360697,1
"20-25%",1,1,0.21875,12,8,19,0.033472409360697,0
"20-25%",1,1,0.21875,12,9,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,10,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,11,20,0.0645825104586165,1
"20-25%",1,1,0.21875,12,12,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,13,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,14,19,0.0541923180333377,0
"20-25%",1,1,0.21875,12,15,20,0.0541923180333377,1
"20-25%",1,1,0.21875,13,1,14,0.0370602662149141,0
"20-25%",1,1,0.21875,13,2,18,0.0318525547671052,0
"20-25%",1,1,0.21875,13,3,18,0.0318525547671052,0
"20-25%",1,1,0.21875,13,4,18,0.0162456272565031,0
"20-25%",1,1,0.21875,13,5,18,-0.00994293685268744,0
"20-25%",1,1,0.21875,13,6,16,0.0370602662149141,0
"20-25%",1,1,0.21875,13,7,18,0.0318525547671052,0
"20-25%",1,1,0.21875,13,8,18,-0.00994293685268744,0
