"bin","k","rep","mast"
"20-30%",14,5,19
"20-30%",14,6,18
"20-30%",14,7,22
"20-30%",14,8,18
"20-30%",14,9,23
"20-30%",14,10,20
"20-30%",14,11,20
"20-30%",14,12,19
"20-30%",14,13,18
"20-30%",14,14,18
"20-30%",14,15,18
"20-30%",15,1,18
"20-30%",15,2,19
"20-30%",15,3,17
"20-30%",15,4,17
"20-30%",15,5,20
"20-30%",15,6,18
"20-30%",15,7,18
"20-30%",15,8,19
"20-30%",15,9,21
"20-30%",15,10,17
"20-30%",15,11,18
"20-30%",15,12,20
"20-30%",15,13,21
"20-30%",15,14,17
"20-30%",15,15,19
"20-30%",16,1,18
"20-30%",16,2,18
"20-30%",16,3,17
"20-30%",16,4,17
"20-30%",16,5,20
"20-30%",16,6,17
"20-30%",16,7,21
"20-30%",16,8,20
"20-30%",16,9,18
"20-30%",16,10,18
"20-30%",16,11,19
"20-30%",16,12,19
"20-30%",16,13,17
"20-30%",16,14,18
"20-30%",16,15,18
"20-30%",17,1,21
"20-30%",17,2,17
"20-30%",17,3,20
"20-30%",17,4,19
"20-30%",17,5,18
"20-30%",17,6,19
"20-30%",17,7,20
"20-30%",17,8,17
"20-30%",17,9,17
"20-30%",17,10,19
"20-30%",17,11,18
"20-30%",17,12,20
"20-30%",17,13,19
"20-30%",17,14,17
"20-30%",17,15,18
"20-30%",18,1,18
"20-30%",18,2,20
"20-30%",18,3,16
"20-30%",18,4,17
"20-30%",18,5,17
"20-30%",18,6,17
"20-30%",18,7,21
"20-30%",18,8,23
"20-30%",18,9,18
"20-30%",18,10,21
"20-30%",18,11,17
"20-30%",18,12,22
"20-30%",18,13,18
"20-30%",18,14,18
"20-30%",18,15,20
"20-30%",19,1,20
"20-30%",19,2,19
"20-30%",19,3,24
"20-30%",19,4,18
"20-30%",19,5,23
"20-30%",19,6,17
"20-30%",19,7,20
"20-30%",19,8,17
"20-30%",19,9,22
"20-30%",19,10,18
"20-30%",19,11,17
"20-30%",19,12,19
"20-30%",19,13,19
"20-30%",19,14,19
"20-30%",19,15,21
"20-30%",20,1,22
"20-30%",20,2,18
"20-30%",20,3,22
"20-30%",20,4,21
"20-30%",20,5,18
"20-30%",20,6,22
"20-30%",20,7,17
"20-30%",20,8,20
"20-30%",20,9,22
"20-30%",20,10,18
"20-30%",20,11,24
"20-30%",20,12,21
"20-30%",20,13,21
"20-30%",20,14,18
"20-30%",20,15,23
"20-30%",21,1,22
"20-30%",21,2,22
"20-30%",21,3,18
"20-30%",21,4,21
"20-30%",21,5,17
"20-30%",21,6,24
"20-30%",21,7,16
"20-30%",21,8,23
"20-30%",21,9,22
"20-30%",21,10,22
"20-30%",21,11,16
"20-30%",21,12,22
"20-30%",21,13,21
"20-30%",21,14,22
"20-30%",21,15,24
"20-30%",22,1,21
"20-30%",22,2,23
"20-30%",22,3,24
"20-30%",22,4,21
"20-30%",22,5,24
"20-30%",22,6,23
"20-30%",22,7,24
"20-30%",22,8,22
"20-30%",22,9,24
"20-30%",22,10,24
"20-30%",22,11,23
"20-30%",22,12,21
"20-30%",22,13,21
"20-30%",22,14,22
"20-30%",22,15,23
"20-30%",23,1,23
"20-30%",23,2,23
"20-30%",23,3,24
"20-30%",23,4,22
"20-30%",23,5,25
"20-30%",23,6,23
"20-30%",23,7,23
"20-30%",23,8,24
"20-30%",23,9,23
"20-30%",23,10,24
"20-30%",23,11,25
"20-30%",23,12,23
"20-30%",23,13,23
"20-30%",23,14,23
"20-30%",23,15,23
"20-30%",24,1,25
"20-30%",24,2,23
"20-30%",24,3,25
"20-30%",24,4,24
"20-30%",24,5,26
"20-30%",24,6,24
"20-30%",24,7,25
"20-30%",24,8,23
"20-30%",24,9,23
"20-30%",24,10,26
"20-30%",24,11,25
"20-30%",24,12,23
"20-30%",24,13,25
"20-30%",24,14,26
"20-30%",24,15,25
"20-30%",25,1,25
"20-30%",25,2,24
"20-30%",25,3,26
"20-30%",25,4,25
"20-30%",25,5,25
"20-30%",25,6,25
"20-30%",25,7,24
"20-30%",25,8,26
"20-30%",25,9,26
"20-30%",25,10,26
"20-30%",25,11,25
"20-30%",25,12,26
"20-30%",25,13,24
"20-30%",25,14,24
"20-30%",25,15,25
"20-30%",26,1,27
"20-30%",26,2,26
"20-30%",26,3,26
"20-30%",26,4,25
"20-30%",26,5,25
"20-30%",26,6,26
"20-30%",26,7,26
"20-30%",26,8,25
"20-30%",26,9,26
"20-30%",26,10,25
"20-30%",26,11,26
"20-30%",26,12,25
"20-30%",26,13,25
"20-30%",26,14,25
"20-30%",26,15,26
"20-30%",27,1,27
"20-30%",27,2,28
"20-30%",27,3,26
"20-30%",27,4,26
"20-30%",27,5,26
"20-30%",27,6,27
"20-30%",27,7,27
"20-30%",27,8,28
"20-30%",27,9,28
"20-30%",27,10,28
"20-30%",27,11,27
"20-30%",27,12,27
"20-30%",27,13,29
"20-30%",27,14,26
"20-30%",27,15,28
"20-30%",28,1,29
"20-30%",28,2,29
"20-30%",28,3,28
"20-30%",28,4,28
"20-30%",28,5,28
"20-30%",28,6,27
"20-30%",28,7,28
"20-30%",28,8,28
"20-30%",28,9,28
"20-30%",28,10,28
"20-30%",28,11,29
"20-30%",28,12,28
"20-30%",28,13,29
"20-30%",28,14,28
"20-30%",28,15,27
"20-30%",29,1,29
"20-30%",29,2,29
"20-30%",29,3,29
"20-30%",29,4,28
"20-30%",29,5,29
"20-30%",29,6,30
"20-30%",29,7,30
"20-30%",29,8,28
"20-30%",29,9,28
"20-30%",29,10,29
"20-30%",29,11,29
"20-30%",29,12,29
"20-30%",29,13,29
"20-30%",29,14,29
"20-30%",29,15,29
"20-30%",30,1,30
"20-30%",30,2,30
"20-30%",30,3,31
"20-30%",30,4,30
"20-30%",30,5,30
"20-30%",30,6,30
"20-30%",30,7,30
"20-30%",30,8,30
"20-30%",30,9,30
"20-30%",30,10,30
"20-30%",30,11,29
"20-30%",30,12,31
"20-30%",30,13,30
"20-30%",30,14,30
"20-30%",30,15,30
"20-30%",31,1,31
"20-30%",31,2,31
"20-30%",31,3,31
"20-30%",31,4,31
"20-30%",31,5,30
"20-30%",31,6,31
"20-30%",31,7,31
"20-30%",31,8,31
"20-30%",31,9,31
"20-30%",31,10,31
"20-30%",31,11,31
"20-30%",31,12,31
"20-30%",31,13,31
"20-30%",31,14,31
"20-30%",31,15,31
"20-30%",32,1,32
"20-30%",32,2,32
"20-30%",32,3,32
"20-30%",32,4,32
"20-30%",32,5,32
"20-30%",32,6,32
"20-30%",32,7,32
"20-30%",32,8,32
"20-30%",32,9,32
"20-30%",32,10,32
"20-30%",32,11,32
"20-30%",32,12,32
"20-30%",32,13,32
"20-30%",32,14,32
"20-30%",32,15,32
"30-40%",1,1,31
"30-40%",1,2,31
"30-40%",1,3,31
"30-40%",1,4,31
"30-40%",1,5,31
"30-40%",1,6,31
"30-40%",1,7,30
"30-40%",1,8,31
"30-40%",1,9,31
"30-40%",1,10,31
"30-40%",1,11,31
"30-40%",1,12,31
"30-40%",1,13,31
"30-40%",1,14,31
"30-40%",1,15,31
"30-40%",2,1,30
"30-40%",2,2,30
"30-40%",2,3,30
"30-40%",2,4,30
"30-40%",2,5,30
"30-40%",2,6,30
"30-40%",2,7,30
"30-40%",2,8,30
"30-40%",2,9,30
"30-40%",2,10,30
"30-40%",2,11,30
"30-40%",2,12,29
"30-40%",2,13,30
"30-40%",2,14,30
"30-40%",2,15,29
"30-40%",3,1,29
"30-40%",3,2,29
"30-40%",3,3,28
"30-40%",3,4,28
"30-40%",3,5,29
"30-40%",3,6,28
"30-40%",3,7,29
"30-40%",3,8,29
"30-40%",3,9,29
"30-40%",3,10,29
"30-40%",3,11,29
"30-40%",3,12,29
"30-40%",3,13,28
"30-40%",3,14,28
"30-40%",3,15,28
"30-40%",4,1,28
"30-40%",4,2,28
"30-40%",4,3,28
"30-40%",4,4,28
"30-40%",4,5,28
"30-40%",4,6,28
"30-40%",4,7,28
"30-40%",4,8,28
"30-40%",4,9,28
"30-40%",4,10,27
"30-40%",4,11,28
"30-40%",4,12,28
"30-40%",4,13,28
"30-40%",4,14,28
"30-40%",4,15,28
"30-40%",5,1,27
"30-40%",5,2,27
"30-40%",5,3,26
"30-40%",5,4,27
"30-40%",5,5,16
"30-40%",5,6,27
"30-40%",5,7,27
"30-40%",5,8,27
"30-40%",5,9,27
"30-40%",5,10,27
"30-40%",5,11,27
"30-40%",5,12,26
"30-40%",5,13,27
"30-40%",5,14,26
"30-40%",5,15,27
"30-40%",6,1,27
"30-40%",6,2,26
"30-40%",6,3,26
"30-40%",6,4,16
"30-40%",6,5,25
"30-40%",6,6,26
"30-40%",6,7,25
"30-40%",6,8,26
"30-40%",6,9,26
"30-40%",6,10,26
"30-40%",6,11,28
"30-40%",6,12,26
"30-40%",6,13,25
"30-40%",6,14,27
"30-40%",6,15,25
"30-40%",7,1,25
"30-40%",7,2,25
"30-40%",7,3,25
"30-40%",7,4,17
"30-40%",7,5,24
"30-40%",7,6,25
"30-40%",7,7,24
"30-40%",7,8,26
"30-40%",7,9,24
"30-40%",7,10,25
"30-40%",7,11,25
"30-40%",7,12,24
"30-40%",7,13,17
"30-40%",7,14,26
"30-40%",7,15,25
"30-40%",8,1,25
"30-40%",8,2,24
"30-40%",8,3,23
"30-40%",8,4,24
"30-40%",8,5,23
"30-40%",8,6,24
"30-40%",8,7,23
"30-40%",8,8,24
"30-40%",8,9,25
"30-40%",8,10,25
"30-40%",8,11,24
"30-40%",8,12,24
"30-40%",8,13,23
"30-40%",8,14,26
"30-40%",8,15,23
"30-40%",9,1,23
"30-40%",9,2,23
"30-40%",9,3,22
"30-40%",9,4,22
"30-40%",9,5,22
"30-40%",9,6,15
"30-40%",9,7,18
"30-40%",9,8,23
"30-40%",9,9,23
"30-40%",9,10,24
"30-40%",9,11,18
"30-40%",9,12,18
"30-40%",9,13,24
"30-40%",9,14,22
"30-40%",9,15,17
"30-40%",10,1,15
"30-40%",10,2,23
"30-40%",10,3,23
"30-40%",10,4,21
"30-40%",10,5,24
"30-40%",10,6,22
"30-40%",10,7,21
"30-40%",10,8,22
"30-40%",10,9,21
"30-40%",10,10,23
"30-40%",10,11,23
"30-40%",10,12,22
"30-40%",10,13,22
"30-40%",10,14,16
"30-40%",10,15,24
"30-40%",11,1,21
"30-40%",11,2,20
"30-40%",11,3,20
"30-40%",11,4,22
"30-40%",11,5,20
"30-40%",11,6,22
"30-40%",11,7,20
"30-40%",11,8,20
"30-40%",11,9,23
"30-40%",11,10,23
"30-40%",11,11,16
"30-40%",11,12,23
"30-40%",11,13,21
"30-40%",11,14,16
"30-40%",11,15,20
"30-40%",12,1,20
"30-40%",12,2,16
"30-40%",12,3,16
"30-40%",12,4,20
"30-40%",12,5,20
"30-40%",12,6,18
"30-40%",12,7,22
"30-40%",12,8,17
"30-40%",12,9,19
"30-40%",12,10,19
"30-40%",12,11,17
"30-40%",12,12,20
"30-40%",12,13,20
"30-40%",12,14,16
"30-40%",12,15,16
"30-40%",13,1,18
"30-40%",13,2,19
"30-40%",13,3,16
"30-40%",13,4,20
"30-40%",13,5,17
"30-40%",13,6,22
"30-40%",13,7,16
"30-40%",13,8,16
"30-40%",13,9,20
"30-40%",13,10,18
"30-40%",13,11,16
"30-40%",13,12,20
"30-40%",13,13,19
"30-40%",13,14,20
"30-40%",13,15,19
"30-40%",14,1,17
"30-40%",14,2,18
"30-40%",14,3,17
"30-40%",14,4,18
"30-40%",14,5,19
"30-40%",14,6,18
"30-40%",14,7,20
"30-40%",14,8,17
"30-40%",14,9,19
"30-40%",14,10,18
"30-40%",14,11,19
"30-40%",14,12,18
"30-40%",14,13,19
"30-40%",14,14,18
"30-40%",14,15,17
"30-40%",15,1,16
"30-40%",15,2,18
"30-40%",15,3,19
"30-40%",15,4,20
"30-40%",15,5,20
"30-40%",15,6,18
"30-40%",15,7,17
"30-40%",15,8,17
"30-40%",15,9,20
"30-40%",15,10,20
"30-40%",15,11,18
"30-40%",15,12,19
"30-40%",15,13,19
"30-40%",15,14,17
"30-40%",15,15,21
"30-40%",16,1,17
"30-40%",16,2,21
"30-40%",16,3,20
"30-40%",16,4,18
"30-40%",16,5,18
"30-40%",16,6,19
"30-40%",16,7,17
"30-40%",16,8,17
"30-40%",16,9,22
"30-40%",16,10,17
"30-40%",16,11,18
"30-40%",16,12,16
"30-40%",16,13,19
"30-40%",16,14,21
"30-40%",16,15,18
"30-40%",17,1,16
"30-40%",17,2,16
"30-40%",17,3,18
"30-40%",17,4,19
"30-40%",17,5,20
"30-40%",17,6,20
"30-40%",17,7,19
"30-40%",17,8,17
"30-40%",17,9,18
"30-40%",17,10,18
"30-40%",17,11,18
"30-40%",17,12,16
"30-40%",17,13,18
"30-40%",17,14,17
"30-40%",17,15,20
"30-40%",18,1,20
"30-40%",18,2,19
"30-40%",18,3,18
"30-40%",18,4,16
"30-40%",18,5,21
"30-40%",18,6,19
"30-40%",18,7,17
"30-40%",18,8,21
"30-40%",18,9,19
"30-40%",18,10,16
"30-40%",18,11,19
"30-40%",18,12,18
"30-40%",18,13,21
"30-40%",18,14,20
"30-40%",18,15,16
"30-40%",19,1,18
"30-40%",19,2,17
"30-40%",19,3,21
"30-40%",19,4,19
"30-40%",19,5,19
"30-40%",19,6,16
"30-40%",19,7,21
"30-40%",19,8,18
"30-40%",19,9,18
"30-40%",19,10,22
"30-40%",19,11,17
"30-40%",19,12,19
"30-40%",19,13,22
"30-40%",19,14,21
"30-40%",19,15,20
"30-40%",20,1,16
"30-40%",20,2,17
"30-40%",20,3,19
"30-40%",20,4,16
"30-40%",20,5,16
"30-40%",20,6,16
"30-40%",20,7,19
"30-40%",20,8,17
"30-40%",20,9,20
"30-40%",20,10,16
"30-40%",20,11,21
"30-40%",20,12,22
"30-40%",20,13,22
"30-40%",20,14,21
"30-40%",20,15,21
"30-40%",21,1,21
"30-40%",21,2,21
"30-40%",21,3,17
"30-40%",21,4,18
"30-40%",21,5,21
"30-40%",21,6,21
"30-40%",21,7,16
"30-40%",21,8,20
"30-40%",21,9,22
"30-40%",21,10,24
"30-40%",21,11,21
"30-40%",21,12,16
"30-40%",21,13,21
"30-40%",21,14,22
"30-40%",21,15,18
"30-40%",22,1,17
"30-40%",22,2,17
"30-40%",22,3,23
"30-40%",22,4,18
"30-40%",22,5,21
"30-40%",22,6,24
"30-40%",22,7,21
"30-40%",22,8,22
"30-40%",22,9,22
"30-40%",22,10,22
"30-40%",22,11,26
"30-40%",22,12,23
"30-40%",22,13,21
"30-40%",22,14,16
"30-40%",22,15,21
"30-40%",23,1,23
"30-40%",23,2,23
"30-40%",23,3,16
"30-40%",23,4,23
"30-40%",23,5,24
"30-40%",23,6,22
"30-40%",23,7,23
"30-40%",23,8,17
"30-40%",23,9,17
"30-40%",23,10,16
"30-40%",23,11,24
"30-40%",23,12,23
"30-40%",23,13,23
"30-40%",23,14,23
"30-40%",23,15,24
"30-40%",24,1,24
"30-40%",24,2,23
"30-40%",24,3,16
"30-40%",24,4,23
"30-40%",24,5,24
"30-40%",24,6,24
"30-40%",24,7,24
"30-40%",24,8,24
"30-40%",24,9,23
"30-40%",24,10,17
"30-40%",24,11,24
"30-40%",24,12,23
"30-40%",24,13,24
"30-40%",24,14,23
"30-40%",24,15,17
"30-40%",25,1,24
"30-40%",25,2,25
"30-40%",25,3,25
"30-40%",25,4,24
"30-40%",25,5,25
"30-40%",25,6,26
"30-40%",25,7,25
"30-40%",25,8,25
"30-40%",25,9,25
"30-40%",25,10,17
"30-40%",25,11,26
"30-40%",25,12,24
"30-40%",25,13,26
"30-40%",25,14,24
"30-40%",25,15,24
"30-40%",26,1,26
"30-40%",26,2,25
"30-40%",26,3,27
"30-40%",26,4,25
"30-40%",26,5,26
"30-40%",26,6,26
"30-40%",26,7,26
"30-40%",26,8,15
"30-40%",26,9,26
"30-40%",26,10,26
"30-40%",26,11,26
"30-40%",26,12,26
"30-40%",26,13,25
"30-40%",26,14,26
"30-40%",26,15,26
"30-40%",27,1,27
"30-40%",27,2,27
"30-40%",27,3,27
"30-40%",27,4,26
"30-40%",27,5,27
"30-40%",27,6,27
"30-40%",27,7,27
"30-40%",27,8,26
"30-40%",27,9,27
"30-40%",27,10,26
"30-40%",27,11,26
"30-40%",27,12,17
"30-40%",27,13,27
"30-40%",27,14,27
"30-40%",27,15,27
"30-40%",28,1,28
"30-40%",28,2,28
"30-40%",28,3,28
"30-40%",28,4,28
"30-40%",28,5,28
"30-40%",28,6,28
"30-40%",28,7,27
"30-40%",28,8,28
"30-40%",28,9,28
"30-40%",28,10,27
"30-40%",28,11,28
"30-40%",28,12,27
"30-40%",28,13,28
"30-40%",28,14,28
"30-40%",28,15,28
"30-40%",29,1,29
"30-40%",29,2,29
"30-40%",29,3,28
"30-40%",29,4,29
"30-40%",29,5,29
"30-40%",29,6,29
"30-40%",29,7,29
"30-40%",29,8,29
"30-40%",29,9,29
"30-40%",29,10,29
"30-40%",29,11,29
"30-40%",29,12,29
"30-40%",29,13,29
"30-40%",29,14,29
"30-40%",29,15,29
"30-40%",30,1,30
"30-40%",30,2,30
"30-40%",30,3,30
"30-40%",30,4,30
"30-40%",30,5,30
"30-40%",30,6,30
"30-40%",30,7,30
"30-40%",30,8,30
"30-40%",30,9,30
"30-40%",30,10,30
"30-40%",30,11,30
"30-40%",30,12,30
"30-40%",30,13,30
"30-40%",30,14,29
"30-40%",30,15,29
"30-40%",31,1,31
"30-40%",31,2,31
"30-40%",31,3,31
"30-40%",31,4,31
"30-40%",31,5,31
"30-40%",31,6,31
"30-40%",31,7,31
"30-40%",31,8,31
"30-40%",31,9,31
"30-40%",31,10,31
"30-40%",31,11,31
"30-40%",31,12,31
"30-40%",31,13,31
"30-40%",31,14,31
"30-40%",31,15,30
"30-40%",32,1,32
"30-40%",32,2,32
"30-40%",32,3,32
"30-40%",32,4,32
"30-40%",32,5,32
"30-40%",32,6,32
"30-40%",32,7,32
"30-40%",32,8,32
"30-40%",32,9,32
"30-40%",32,10,32
"30-40%",32,11,32
"30-40%",32,12,32
"30-40%",32,13,32
"30-40%",32,14,32
"30-40%",32,15,32
"40-50%",1,1,31
"40-50%",1,2,31
"40-50%",1,3,31
"40-50%",1,4,31
"40-50%",1,5,31
"40-50%",1,6,31
"40-50%",1,7,31
"40-50%",1,8,30
"40-50%",1,9,31
"40-50%",1,10,31
"40-50%",1,11,31
"40-50%",1,12,30
"40-50%",1,13,31
"40-50%",1,14,31
"40-50%",1,15,31
"40-50%",2,1,30
"40-50%",2,2,30
"40-50%",2,3,30
"40-50%",2,4,30
"40-50%",2,5,16
"40-50%",2,6,30
"40-50%",2,7,29
"40-50%",2,8,16
"40-50%",2,9,30
"40-50%",2,10,30
"40-50%",2,11,16
"40-50%",2,12,16
"40-50%",2,13,30
"40-50%",2,14,30
"40-50%",2,15,30
"40-50%",3,1,29
"40-50%",3,2,29
"40-50%",3,3,29
"40-50%",3,4,29
"40-50%",3,5,16
"40-50%",3,6,29
"40-50%",3,7,29
"40-50%",3,8,28
"40-50%",3,9,29
"40-50%",3,10,16
"40-50%",3,11,29
"40-50%",3,12,29
"40-50%",3,13,16
"40-50%",3,14,15
"40-50%",3,15,29
"40-50%",4,1,28
"40-50%",4,2,14
"40-50%",4,3,15
"40-50%",4,4,28
"40-50%",4,5,15
"40-50%",4,6,16
"40-50%",4,7,15
"40-50%",4,8,28
"40-50%",4,9,27
"40-50%",4,10,28
"40-50%",4,11,17
"40-50%",4,12,28
"40-50%",4,13,28
"40-50%",4,14,15
"40-50%",4,15,28
"40-50%",5,1,14
"40-50%",5,2,27
"40-50%",5,3,27
"40-50%",5,4,27
"40-50%",5,5,14
"40-50%",5,6,27
"40-50%",5,7,27
"40-50%",5,8,15
"40-50%",5,9,27
"40-50%",5,10,26
"40-50%",5,11,27
"40-50%",5,12,26
"40-50%",5,13,26
"40-50%",5,14,26
"40-50%",5,15,27
"40-50%",6,1,26
"40-50%",6,2,25
"40-50%",6,3,14
"40-50%",6,4,26
"40-50%",6,5,26
"40-50%",6,6,26
"40-50%",6,7,26
"40-50%",6,8,25
"40-50%",6,9,26
"40-50%",6,10,14
"40-50%",6,11,25
"40-50%",6,12,25
"40-50%",6,13,14
"40-50%",6,14,15
"40-50%",6,15,26
"40-50%",7,1,24
"40-50%",7,2,25
"40-50%",7,3,24
"40-50%",7,4,25
"40-50%",7,5,25
"40-50%",7,6,13
"40-50%",7,7,14
"40-50%",7,8,25
"40-50%",7,9,25
"40-50%",7,10,25
"40-50%",7,11,25
"40-50%",7,12,25
"40-50%",7,13,24
"40-50%",7,14,25
"40-50%",7,15,25
"40-50%",8,1,23
"40-50%",8,2,24
"40-50%",8,3,12
"40-50%",8,4,23
"40-50%",8,5,24
"40-50%",8,6,24
"40-50%",8,7,13
"40-50%",8,8,24
"40-50%",8,9,13
"40-50%",8,10,14
"40-50%",8,11,23
"40-50%",8,12,13
"40-50%",8,13,13
"40-50%",8,14,13
"40-50%",8,15,24
"40-50%",9,1,23
"40-50%",9,2,23
"40-50%",9,3,22
"40-50%",9,4,23
"40-50%",9,5,23
"40-50%",9,6,23
"40-50%",9,7,22
"40-50%",9,8,13
"40-50%",9,9,12
"40-50%",9,10,23
"40-50%",9,11,23
"40-50%",9,12,23
"40-50%",9,13,23
"40-50%",9,14,13
"40-50%",9,15,14
"40-50%",10,1,21
"40-50%",10,2,22
"40-50%",10,3,22
"40-50%",10,4,12
"40-50%",10,5,12
"40-50%",10,6,21
"40-50%",10,7,13
"40-50%",10,8,22
"40-50%",10,9,12
"40-50%",10,10,22
"40-50%",10,11,13
"40-50%",10,12,22
"40-50%",10,13,22
"40-50%",10,14,22
"40-50%",10,15,13
"40-50%",11,1,11
"40-50%",11,2,14
"40-50%",11,3,21
"40-50%",11,4,11
"40-50%",11,5,21
"40-50%",11,6,15
"40-50%",11,7,12
"40-50%",11,8,20
"40-50%",11,9,20
"40-50%",11,10,21
"40-50%",11,11,20
"40-50%",11,12,12
"40-50%",11,13,11
"40-50%",11,14,21
"40-50%",11,15,13
"40-50%",12,1,20
"40-50%",12,2,12
"40-50%",12,3,12
"40-50%",12,4,12
"40-50%",12,5,20
"40-50%",12,6,19
"40-50%",12,7,20
"40-50%",12,8,20
"40-50%",12,9,12
"40-50%",12,10,20
"40-50%",12,11,20
"40-50%",12,12,20
"40-50%",12,13,20
"40-50%",12,14,20
"40-50%",12,15,12
"40-50%",13,1,12
"40-50%",13,2,13
"40-50%",13,3,19
"40-50%",13,4,19
"40-50%",13,5,15
"40-50%",13,6,12
"40-50%",13,7,19
"40-50%",13,8,19
"40-50%",13,9,12
"40-50%",13,10,12
"40-50%",13,11,12
"40-50%",13,12,14
"40-50%",13,13,13
"40-50%",13,14,13
"40-50%",13,15,19
"40-50%",14,1,14
"40-50%",14,2,14
"40-50%",14,3,18
"40-50%",14,4,17
"40-50%",14,5,14
"40-50%",14,6,13
"40-50%",14,7,17
"40-50%",14,8,17
"40-50%",14,9,13
"40-50%",14,10,17
"40-50%",14,11,14
"40-50%",14,12,18
"40-50%",14,13,14
"40-50%",14,14,17
"40-50%",14,15,17
"40-50%",15,1,17
"40-50%",15,2,16
"40-50%",15,3,17
"40-50%",15,4,15
"40-50%",15,5,17
"40-50%",15,6,17
"40-50%",15,7,17
"40-50%",15,8,16
"40-50%",15,9,17
"40-50%",15,10,17
"40-50%",15,11,15
"40-50%",15,12,17
"40-50%",15,13,16
"40-50%",15,14,16
"40-50%",15,15,15
"40-50%",16,1,16
"40-50%",16,2,16
"40-50%",16,3,16
"40-50%",16,4,16
"40-50%",16,5,16
"40-50%",16,6,16
"40-50%",16,7,16
"40-50%",16,8,15
"40-50%",16,9,16
"40-50%",16,10,16
"40-50%",16,11,16
"40-50%",16,12,16
"40-50%",16,13,16
"40-50%",16,14,16
"40-50%",16,15,16
"40-50%",17,1,15
"40-50%",17,2,14
"40-50%",17,3,16
"40-50%",17,4,15
"40-50%",17,5,14
"40-50%",17,6,17
"40-50%",17,7,15
"40-50%",17,8,17
"40-50%",17,9,14
"40-50%",17,10,14
"40-50%",17,11,16
"40-50%",17,12,15
"40-50%",17,13,16
"40-50%",17,14,15
"40-50%",17,15,15
"40-50%",18,1,14
"40-50%",18,2,17
"40-50%",18,3,14
"40-50%",18,4,14
"40-50%",18,5,13
"40-50%",18,6,14
"40-50%",18,7,18
"40-50%",18,8,17
"40-50%",18,9,13
"40-50%",18,10,18
"40-50%",18,11,18
"40-50%",18,12,18
"40-50%",18,13,14
"40-50%",18,14,14
"40-50%",18,15,18
"40-50%",19,1,19
"40-50%",19,2,13
"40-50%",19,3,18
"40-50%",19,4,19
"40-50%",19,5,12
"40-50%",19,6,13
"40-50%",19,7,13
"40-50%",19,8,13
"40-50%",19,9,19
"40-50%",19,10,13
"40-50%",19,11,19
"40-50%",19,12,14
"40-50%",19,13,12
"40-50%",19,14,13
"40-50%",19,15,19
"40-50%",20,1,19
"40-50%",20,2,13
"40-50%",20,3,12
"40-50%",20,4,20
"40-50%",20,5,19
"40-50%",20,6,20
"40-50%",20,7,20
"40-50%",20,8,12
"40-50%",20,9,12
"40-50%",20,10,20
"40-50%",20,11,12
"40-50%",20,12,20
"40-50%",20,13,12
"40-50%",20,14,12
"40-50%",20,15,12
"40-50%",21,1,20
"40-50%",21,2,21
"40-50%",21,3,16
"40-50%",21,4,11
"40-50%",21,5,21
"40-50%",21,6,21
"40-50%",21,7,20
"40-50%",21,8,20
"40-50%",21,9,21
"40-50%",21,10,14
"40-50%",21,11,21
"40-50%",21,12,20
"40-50%",21,13,21
"40-50%",21,14,12
"40-50%",21,15,11
"40-50%",22,1,21
"40-50%",22,2,12
"40-50%",22,3,13
"40-50%",22,4,22
"40-50%",22,5,21
"40-50%",22,6,22
"40-50%",22,7,22
"40-50%",22,8,12
"40-50%",22,9,12
"40-50%",22,10,22
"40-50%",22,11,13
"40-50%",22,12,22
"40-50%",22,13,22
"40-50%",22,14,12
"40-50%",22,15,22
"40-50%",23,1,11
"40-50%",23,2,13
"40-50%",23,3,13
"40-50%",23,4,15
"40-50%",23,5,14
"40-50%",23,6,23
"40-50%",23,7,13
"40-50%",23,8,13
"40-50%",23,9,22
"40-50%",23,10,23
"40-50%",23,11,23
"40-50%",23,12,22
"40-50%",23,13,13
"40-50%",23,14,14
"40-50%",23,15,23
"40-50%",24,1,23
"40-50%",24,2,23
"40-50%",24,3,23
"40-50%",24,4,24
"40-50%",24,5,23
"40-50%",24,6,23
"40-50%",24,7,14
"40-50%",24,8,23
"40-50%",24,9,24
"40-50%",24,10,23
"40-50%",24,11,24
"40-50%",24,12,23
"40-50%",24,13,24
"40-50%",24,14,24
"40-50%",24,15,24
"40-50%",25,1,25
"40-50%",25,2,25
"40-50%",25,3,24
"40-50%",25,4,14
"40-50%",25,5,25
"40-50%",25,6,25
"40-50%",25,7,24
"40-50%",25,8,25
"40-50%",25,9,24
"40-50%",25,10,14
"40-50%",25,11,25
"40-50%",25,12,24
"40-50%",25,13,24
"40-50%",25,14,24
"40-50%",25,15,25
"40-50%",26,1,26
"40-50%",26,2,26
"40-50%",26,3,14
"40-50%",26,4,26
"40-50%",26,5,15
"40-50%",26,6,26
"40-50%",26,7,26
"40-50%",26,8,14
"40-50%",26,9,26
"40-50%",26,10,13
"40-50%",26,11,14
"40-50%",26,12,15
"40-50%",26,13,25
"40-50%",26,14,26
"40-50%",26,15,26
"40-50%",27,1,27
"40-50%",27,2,15
"40-50%",27,3,27
"40-50%",27,4,27
"40-50%",27,5,27
"40-50%",27,6,27
"40-50%",27,7,27
"40-50%",27,8,14
"40-50%",27,9,26
"40-50%",27,10,27
"40-50%",27,11,27
"40-50%",27,12,14
"40-50%",27,13,27
"40-50%",27,14,27
