"bin","k","rep","mast"
"0-10%",16,8,18
"0-10%",16,9,16
"0-10%",16,10,20
"0-10%",16,11,17
"0-10%",16,12,17
"0-10%",16,13,18
"0-10%",16,14,22
"0-10%",16,15,17
"0-10%",17,1,17
"0-10%",17,2,17
"0-10%",17,3,18
"0-10%",17,4,20
"0-10%",17,5,17
"0-10%",17,6,18
"0-10%",17,7,21
"0-10%",17,8,21
"0-10%",17,9,19
"0-10%",17,10,19
"0-10%",17,11,21
"0-10%",17,12,20
"0-10%",17,13,18
"0-10%",17,14,18
"0-10%",17,15,20
"0-10%",18,1,17
"0-10%",18,2,20
"0-10%",18,3,18
"0-10%",18,4,18
"0-10%",18,5,17
"0-10%",18,6,18
"0-10%",18,7,18
"0-10%",18,8,19
"0-10%",18,9,21
"0-10%",18,10,19
"0-10%",18,11,16
"0-10%",18,12,19
"0-10%",18,13,18
"0-10%",18,14,23
"0-10%",18,15,20
"0-10%",19,1,19
"0-10%",19,2,19
"0-10%",19,3,18
"0-10%",19,4,18
"0-10%",19,5,18
"0-10%",19,6,18
"0-10%",19,7,18
"0-10%",19,8,21
"0-10%",19,9,19
"0-10%",19,10,20
"0-10%",19,11,20
"0-10%",19,12,19
"0-10%",19,13,20
"0-10%",19,14,19
"0-10%",19,15,20
"0-10%",20,1,21
"0-10%",20,2,19
"0-10%",20,3,20
"0-10%",20,4,20
"0-10%",20,5,20
"0-10%",20,6,19
"0-10%",20,7,19
"0-10%",20,8,19
"0-10%",20,9,19
"0-10%",20,10,22
"0-10%",20,11,21
"0-10%",20,12,21
"0-10%",20,13,22
"0-10%",20,14,21
"0-10%",20,15,22
"0-10%",21,1,21
"0-10%",21,2,20
"0-10%",21,3,21
"0-10%",21,4,22
"0-10%",21,5,21
"0-10%",21,6,20
"0-10%",21,7,20
"0-10%",21,8,21
"0-10%",21,9,24
"0-10%",21,10,21
"0-10%",21,11,21
"0-10%",21,12,20
"0-10%",21,13,21
"0-10%",21,14,21
"0-10%",21,15,20
"0-10%",22,1,22
"0-10%",22,2,22
"0-10%",22,3,22
"0-10%",22,4,21
"0-10%",22,5,21
"0-10%",22,6,21
"0-10%",22,7,21
"0-10%",22,8,24
"0-10%",22,9,22
"0-10%",22,10,21
"0-10%",22,11,21
"0-10%",22,12,21
"0-10%",22,13,21
"0-10%",22,14,22
"0-10%",22,15,21
"0-10%",23,1,22
"0-10%",23,2,23
"0-10%",23,3,24
"0-10%",23,4,22
"0-10%",23,5,23
"0-10%",23,6,24
"0-10%",23,7,23
"0-10%",23,8,23
"0-10%",23,9,23
"0-10%",23,10,23
"0-10%",23,11,22
"0-10%",23,12,22
"0-10%",23,13,23
"0-10%",23,14,22
"0-10%",23,15,23
"0-10%",24,1,23
"0-10%",24,2,24
"0-10%",24,3,23
"0-10%",24,4,24
