"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"75-80%",32,32,NA,1,NA
"80-85%",1,30.9433333333333,NA,0.862089400747782,NA
"80-85%",2,29.9266666666667,NA,0.73682802934023,NA
"80-85%",3,28.9366666666667,NA,0.627714820037805,NA
"80-85%",4,27.9366666666667,NA,0.528039431992859,NA
"80-85%",5,27,NA,0.43602430002589,NA
"80-85%",6,25.9866666666667,NA,0.354627156336879,NA
"80-85%",7,24.9566666666667,NA,0.288255571863764,NA
"80-85%",8,23.9566666666667,NA,0.225830575802399,NA
"80-85%",9,23.0666666666667,NA,0.167877155149391,NA
"80-85%",10,22.0266666666667,NA,0.123234728860129,NA
"80-85%",11,21.0933333333333,NA,0.0819797933093669,NA
"80-85%",12,19.9466666666667,NA,0.0480496908175455,NA
"80-85%",13,18.9533333333333,NA,0.0248805021123388,NA
"80-85%",14,18.2066666666667,NA,0.00615160915529164,NA
"80-85%",15,17.5133333333333,NA,-0.00472783307409336,NA
"80-85%",16,17.4833333333333,NA,-0.00763999769510838,NA
"80-85%",17,17.6633333333333,NA,-0.00414843289935063,NA
"80-85%",18,18.2733333333333,NA,0.00545537729417891,NA
"80-85%",19,18.91,NA,0.0248611974722338,NA
"80-85%",20,19.96,NA,0.0491703790269224,NA
"80-85%",21,21.0866666666667,NA,0.0788161268364533,NA
"80-85%",22,22.1333333333333,NA,0.12154507141515,NA
"80-85%",23,23.16,NA,0.166000073113858,NA
"80-85%",24,24.0933333333333,NA,0.22167578221521,NA
"80-85%",25,24.9933333333333,NA,0.288505977237552,NA
"80-85%",26,25.94,NA,0.358051865212666,NA
"80-85%",27,26.92,NA,0.43840767488162,NA
"80-85%",28,27.8933333333333,NA,0.528463083179715,NA
"80-85%",29,28.9533333333333,NA,0.626779380564346,NA
"80-85%",30,29.95,NA,0.738465755071151,NA
"80-85%",31,30.9633333333333,NA,0.86177526891594,NA
"80-85%",32,32,NA,1,NA
"85-90%",1,30.93,NA,0.83880788425336,NA
"85-90%",2,29.86,NA,0.703054085375755,NA
"85-90%",3,28.9266666666667,NA,0.591154875155956,NA
"85-90%",4,27.9433333333333,NA,0.484756754563874,NA
"85-90%",5,26.9733333333333,NA,0.403197084738059,NA
"85-90%",6,25.9366666666667,NA,0.323533434922046,NA
"85-90%",7,25.0166666666667,NA,0.256410516616205,NA
"85-90%",8,24.12,NA,0.194616364075655,NA
"85-90%",9,23.1733333333333,NA,0.151450487255027,NA
"85-90%",10,22.1,NA,0.109532295924225,NA
"85-90%",11,21.42,NA,0.0699790311500136,NA
"85-90%",12,20.3833333333333,NA,0.0383449642815374,NA
"85-90%",13,19.38,NA,0.0197770756997952,NA
"85-90%",14,18.6833333333333,NA,0.00444661452921004,NA
"85-90%",15,18.1,NA,-0.00560061215370568,NA
"85-90%",16,17.85,NA,-0.00829807507002376,NA
"85-90%",17,18.07,NA,-0.00716319490350038,NA
"85-90%",18,18.5966666666667,NA,0.00203254081431073,NA
"85-90%",19,19.4766666666667,NA,0.0211211003868475,NA
"85-90%",20,20.3966666666667,NA,0.04206431871265,NA
"85-90%",21,21.2966666666667,NA,0.0702203229187294,NA
"85-90%",22,22.2433333333333,NA,0.104506255864347,NA
"85-90%",23,23.14,NA,0.147040250615732,NA
"85-90%",24,24.0366666666667,NA,0.19941056709898,NA
"85-90%",25,25.0233333333333,NA,0.259474247938609,NA
"85-90%",26,26.0466666666667,NA,0.322683788934784,NA
"85-90%",27,26.8766666666667,NA,0.408582517490835,NA
"85-90%",28,27.9266666666667,NA,0.488825246635993,NA
"85-90%",29,28.95,NA,0.583497826791161,NA
"85-90%",30,29.9433333333333,NA,0.704146934109544,NA
"85-90%",31,30.97,NA,0.838085596641764,NA
"85-90%",32,32,NA,1,NA
"90-95%",1,30.9466666666667,NA,0.791795890371753,NA
"90-95%",2,29.9233333333333,NA,0.636392706919479,NA
"90-95%",3,28.98,NA,0.516780341385079,NA
"90-95%",4,27.9266666666667,NA,0.424016431050222,NA
"90-95%",5,27.0033333333333,NA,0.328826764979389,NA
"90-95%",6,26.0466666666667,NA,0.273879146132241,NA
"90-95%",7,25.0666666666667,NA,0.218249959641318,NA
"90-95%",8,24.0366666666667,NA,0.170687229510625,NA
"90-95%",9,23.2333333333333,NA,0.1280560881539,NA
"90-95%",10,22.29,NA,0.0866490417368842,NA
"90-95%",11,21.3466666666667,NA,0.06079940917134,NA
"90-95%",12,20.4566666666667,NA,0.0344597030869088,NA
"90-95%",13,19.74,NA,0.0139424893322106,NA
"90-95%",14,19.0266666666667,NA,-0.00185658246990028,NA
"90-95%",15,18.44,NA,-0.0064057267539158,NA
"90-95%",16,18.1,NA,-0.00785344952796366,NA
"90-95%",17,18.3433333333333,NA,-0.00670759297283634,NA
"90-95%",18,19.0033333333333,NA,0.00127893659708439,NA
"90-95%",19,19.73,NA,0.0132700200981639,NA
"90-95%",20,20.4766666666667,NA,0.0312909125247799,NA
"90-95%",21,21.36,NA,0.0611361326232251,NA
"90-95%",22,22.25,NA,0.0864742565099118,NA
"90-95%",23,23.22,NA,0.123208821376141,NA
"90-95%",24,24.0766666666667,NA,0.177810848440871,NA
"90-95%",25,25.1233333333333,NA,0.21770922478822,NA
"90-95%",26,25.9533333333333,NA,0.284618288081708,NA
"90-95%",27,27.0033333333333,NA,0.340506584369148,NA
"90-95%",28,27.9,NA,0.421004521200418,NA
"90-95%",29,29.0266666666667,NA,0.515615106364885,NA
"90-95%",30,29.9633333333333,NA,0.634147670150913,NA
"90-95%",31,30.9466666666667,NA,0.789258051344268,NA
"90-95%",32,32,NA,1,NA
"95-100%",1,30.2033333333333,NA,0.67132920496534,NA
"95-100%",2,29.3066666666667,NA,0.488287473269164,NA
"95-100%",3,28.37,NA,0.377225205451982,NA
"95-100%",4,27.3133333333333,NA,0.315287937831695,NA
"95-100%",5,26.4766666666667,NA,0.244429027329528,NA
"95-100%",6,25.5966666666667,NA,0.185110672725948,NA
"95-100%",7,24.6833333333333,NA,0.163324844736612,NA
"95-100%",8,23.77,NA,0.120209880778805,NA
"95-100%",9,22.95,NA,0.0855308012586655,NA
"95-100%",10,22.2766666666667,NA,0.0543911169290807,NA
"95-100%",11,21.24,NA,0.0376633364652074,NA
"95-100%",12,20.33,NA,0.0285814045897996,NA
"95-100%",13,19.7133333333333,NA,0.0100471905300779,NA
"95-100%",14,18.92,NA,0.00232735671680165,NA
"95-100%",15,18.99,NA,-0.00591927904001185,NA
"95-100%",16,18.5666666666667,NA,-0.00719767911460788,NA
"95-100%",17,19.21,NA,-0.00476755855771828,NA
"95-100%",18,19.23,NA,0.000407323529917781,NA
"95-100%",19,19.7466666666667,NA,0.0155228755958154,NA
"95-100%",20,20.5533333333333,NA,0.0178072026452392,NA
"95-100%",21,21.12,NA,0.0381455823400646,NA
"95-100%",22,22.1433333333333,NA,0.0695044654996729,NA
"95-100%",23,22.9133333333333,NA,0.0848477763532051,NA
"95-100%",24,23.7633333333333,NA,0.120999023571057,NA
"95-100%",25,24.5933333333333,NA,0.163324844736612,NA
"95-100%",26,25.6766666666667,NA,0.182033800841312,NA
"95-100%",27,26.5266666666667,NA,0.244429027329528,NA
"95-100%",28,27.4166666666667,NA,0.303307650018492,NA
"95-100%",29,28.32,NA,0.375685507334076,NA
"95-100%",30,29.2833333333333,NA,0.48646212301873,NA
"95-100%",31,30.1633333333333,NA,0.67132920496534,NA
"95-100%",32,32,NA,1,NA
