"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"15-20%",21,20.5166666666667,NA,0.0794566180544983,NA
"15-20%",22,21.6533333333333,NA,0.118727512052755,NA
"15-20%",23,22.65,NA,0.164728229969756,NA
"15-20%",24,23.72,NA,0.219887815515613,NA
"15-20%",25,24.67,NA,0.280516199790089,NA
"15-20%",26,25.7766666666667,NA,0.354076421598387,NA
"15-20%",27,26.7966666666667,NA,0.42819815715234,NA
"15-20%",28,27.88,NA,0.516477125812759,NA
"15-20%",29,28.8666666666667,NA,0.619474682523068,NA
"15-20%",30,29.9233333333333,NA,0.728643977775028,NA
"15-20%",31,30.9466666666667,NA,0.856395888408195,NA
"15-20%",32,32,NA,1,NA
"20-25%",1,30.9333333333333,NA,0.869410001345361,NA
"20-25%",2,29.8966666666667,NA,0.750072918024564,NA
"20-25%",3,28.9066666666667,NA,0.641775106446558,NA
"20-25%",4,27.8366666666667,NA,0.54127749884837,NA
"20-25%",5,26.7866666666667,NA,0.452044587934502,NA
"20-25%",6,25.7733333333333,NA,0.371113997600744,NA
"20-25%",7,24.7333333333333,NA,0.29822382185108,NA
"20-25%",8,23.76,NA,0.23410261315034,NA
"20-25%",9,22.5866666666667,NA,0.1763724793678,NA
"20-25%",10,21.4133333333333,NA,0.126775322382474,NA
"20-25%",11,20.05,NA,0.0866050625073215,NA
"20-25%",12,19.0933333333333,NA,0.0513284908024132,NA
"20-25%",13,17.7633333333333,NA,0.0272370257897429,NA
"20-25%",14,17.0133333333333,NA,0.00778182198843867,NA
"20-25%",15,16.5033333333333,NA,-0.00383397531806632,NA
"20-25%",16,16.3,NA,-0.00792098006258197,NA
"20-25%",17,16.42,NA,-0.00346857220028101,NA
"20-25%",18,16.9,NA,0.00781958784153632,NA
"20-25%",19,17.8866666666667,NA,0.0262469927510669,NA
"20-25%",20,19.1966666666667,NA,0.0524577796004852,NA
"20-25%",21,20.0966666666667,NA,0.0852460099188892,NA
"20-25%",22,21.4266666666667,NA,0.125302149507336,NA
"20-25%",23,22.3733333333333,NA,0.177585265264049,NA
"20-25%",24,23.7766666666667,NA,0.234562974266302,NA
"20-25%",25,24.7733333333333,NA,0.297972202809848,NA
"20-25%",26,25.79,NA,0.371075235252561,NA
"20-25%",27,26.8166666666667,NA,0.451202804823744,NA
"20-25%",28,27.8466666666667,NA,0.540456034345759,NA
"20-25%",29,28.89,NA,0.63921552378469,NA
"20-25%",30,29.9,NA,0.749753559315917,NA
"20-25%",31,30.9466666666667,NA,0.869760147986786,NA
"20-25%",32,32,NA,1,NA
"25-30%",1,30.9433333333333,NA,0.874826056685304,NA
"25-30%",2,29.9033333333333,NA,0.758967736041874,NA
"25-30%",3,28.9,NA,0.651175339266435,NA
"25-30%",4,27.84,NA,0.552875252685221,NA
"25-30%",5,26.7966666666667,NA,0.462211840673756,NA
"25-30%",6,25.85,NA,0.38032730858762,NA
"25-30%",7,24.65,NA,0.3050396518258,NA
"25-30%",8,23.38,NA,0.241043850538168,NA
